id,Question ID,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Like / Dislike Ratio,Hints,Similar Questions ID,Similar Questions Text,title lowercase
27,189,Rotate Array,rotate-array,"Given an array, rotate the array to the right by k steps, where k is non-negative. ","Array,Math,Two Pointers",Medium,38.5,2796554,1077386,9117,1268,0.877900818,"The easiest solution would use additional memory and that is perfectly fine. The actual trick comes when trying to solve this problem without using any additional memory. This means you need to use the original array somehow to move the elements around. Now, we can place each element in its original location and shift all the elements around it to adjust as that would be too costly and most likely will time out on larger input arrays. One line of thought is based on reversing the array (or parts of it) to obtain the desired result. Think about how reversal might potentially help us out by using an example. The other line of thought is a tad bit complicated but essentially it builds on the idea of placing each element in its original position while keeping track of the element originally in that position. Basically, at every step, we place an element in its rightful position and keep track of the element already there or the one being overwritten in an additional variable. We can't do this in one linear pass and the idea here is based on cyclic-dependencies between elements.",61186,"Rotate List,Reverse Words in a String II",rotate array
28,69,Sqrt(x),sqrtx,"Given a non-negative integer x, compute and return the square root of x. Since the return type is an integer, the decimal digits are truncated, and only the integer part of the result is returned. Note: You are not allowed to use any built-in exponent function or operator, such as pow(x, 0.5) or x ** 0.5. ","Math,Binary Search",Easy,36.4,2776055,1011489,3661,3137,0.538540747,Try exploring all integers. (Credits: @annujoshi) Use the sorted property of integers to reduced the search space. (Credits: @annujoshi),50367,"Pow(x, n),Valid Perfect Square",sqrt(x)
32,283,Move Zeroes,move-zeroes,"Given an integer array nums, move all 0's to the end of it while maintaining the relative order of the non-zero elements. Note that you must do this in-place without making a copy of the array. ","Array,Two Pointers",Easy,60.6,2674454,1619817,8830,239,0.973646488,"In-place means we should not be allocating any space for extra array. But we are allowed to modify the existing array. However, as a first step, try coming up with a solution that makes use of additional space. For this problem as well, first apply the idea discussed using an additional array and the in-place solution will pop up eventually. A two-pointer approach could be helpful here. The idea would be to have one pointer for iterating the array and another pointer that just works on the non-zero elements of the array.",27,Remove Element,move zeroes
33,11,Container With Most Water,container-with-most-water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container. ","Array,Two Pointers,Greedy",Medium,53.9,2673605,1441824,16437,930,0.946450164,"The aim is to maximize the area formed between the vertical lines. The area of any container is calculated using the shorter line as length and the distance between the lines as the width of the rectangle.


Area = length of shorter vertical line * distance between lines


We can definitely get the maximum width container as the outermost lines have the maximum distance between them. However, this container might not be the maximum in size as one of the vertical lines of this container could be really short. Start with the maximum width container and go to a shorter width container if there is a vertical line longer than the current containers shorter line. This way we are compromising on the width but we are looking forward to a longer length container.",42,Trapping Rain Water,container with most water
34,34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity. ","Array,Binary Search",Medium,40,2648073,1058127,10191,284,0.972887828,,27821652210,"First Bad Version,Plates Between Candles,Find Target Indices After Sorting Array",find first and last position of element in sorted array
35,23,Merge k Sorted Lists,merge-k-sorted-lists,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it. ","Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort",Hard,46.9,2627265,1233044,11827,462,0.962405403,,21264,"Merge Two Sorted Lists,Ugly Number II",merge k sorted lists
36,146,LRU Cache,lru-cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class: The functions get and put must each run in O(1) average time complexity. ,"Hash Table,Linked List,Design,Doubly-Linked List",Medium,39.7,2621253,1041470,12803,498,0.962559206,,4.61E+12,"LFU Cache,Design In-Memory File System,Design Compressed String Iterator,Design Most Recently Used Queue",lru cache
37,13,Roman to Integer,roman-to-integer,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given a roman numeral, convert it to an integer. ","Hash Table,Math,String",Easy,57.9,2611149,1511737,3805,265,0.934889435,Problem is simpler to solve by working the string from back to front and using a map.,12,Integer to Roman,roman to integer
38,55,Jump Game,jump-game,"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise. ","Array,Dynamic Programming,Greedy",Medium,37.7,2575216,971160,10627,612,0.945546757,,4514282001,"Jump Game II,Jump Game III,Jump Game VII",jump game
39,91,Decode Ways,decode-ways,"A message containing letters from A-Z can be encoded into numbers using the following mapping: To decode an encoded message, all the digits must be grouped then mapped back into letters using the reverse of the mapping above (there may be multiple ways). For example, ""11106"" can be mapped into: Note that the grouping (1 11 06) is invalid because ""06"" cannot be mapped into 'F' since ""6"" is different from ""06"". Given a string s containing only digits, return the number of ways to decode it. The test cases are generated so that the answer fits in a 32-bit integer. ","String,Dynamic Programming",Medium,30.1,2536389,764501,6691,3792,0.638271487,,6392091,"Decode Ways II,Number of Ways to Separate Numbers",decode ways
40,217,Contains Duplicate,contains-duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct. ","Array,Hash Table,Sorting",Easy,60.7,2443511,1483087,4378,943,0.822777673,,219220,"Contains Duplicate II,Contains Duplicate III",contains duplicate
43,79,Word Search,word-search,"Given an m x n grid of characters board and a string word, return true if word exists in the grid. The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once. ","Array,Backtracking,Matrix",Medium,39.6,2376458,940859,8999,344,0.963180991,,212,Word Search II,word search
44,322,Coin Change,coin-change,"You are given an integer array coins representing coins of different denominations and an integer amount representing a total amount of money. Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1. You may assume that you have an infinite number of each kind of coin. ","Array,Dynamic Programming,Breadth-First Search",Medium,40,2373497,950323,10775,262,0.976261665,,1.03E+11,"Minimum Cost For Tickets,Maximum Value of K Coins From Piles,Minimum Number of Operations to Convert Time",coin change
46,139,Word Break,word-break,"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words. Note that the same word in the dictionary may be reused multiple times in the segmentation. ","Hash Table,String,Dynamic Programming,Trie,Memoization",Medium,44.5,2363412,1051065,10183,448,0.957859091,,140,Word Break II,word break
47,101,Symmetric Tree,symmetric-tree,"Given the root of a binary tree, check whether it is a mirror of itself (i.e., symmetric around its center). ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,51.5,2345643,1207686,9140,225,0.975974373,,,,symmetric tree
48,198,House Robber,house-robber,"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed, the only constraint stopping you from robbing each of them is that adjacent houses have security systems connected and it will automatically contact the police if two adjacent houses were broken into on the same night. Given an integer array nums representing the amount of money of each house, return the maximum amount of money you can rob tonight without alerting the police. ","Array,Dynamic Programming",Medium,47,2334058,1098090,11854,255,0.978941283,,1.52E+27,"Maximum Product Subarray,House Robber II,Paint House,Paint Fence,House Robber III,Non-negative Integers without Consecutive Ones,Coin Path,Delete and Earn,Solving Questions With Brainpower",house robber
49,136,Single Number,single-number,"Given a non-empty array of integers nums, every element appears twice except for one. Find that single one. You must implement a solution with a linear runtime complexity and use only constant extra space. ","Array,Bit Manipulation",Easy,69.3,2321213,1608367,9569,339,0.965785224,,1.37E+14,"Single Number II,Single Number III,Missing Number,Find the Duplicate Number,Find the Difference",single number
51,104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,"Given the root of a binary tree, return its maximum depth. A binary tree's maximum depth is the number of nodes along the longest path from the root node down to the farthest leaf node. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,71.8,2259723,1621474,6744,124,0.981945253,,1.10E+12,"Balanced Binary Tree,Minimum Depth of Binary Tree,Maximum Depth of N-ary Tree,Time Needed to Inform All Employees",maximum depth of binary tree
52,31,Next Permutation,next-permutation,"A permutation of an array of integers is an arrangement of its members into a sequence or linear order. The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order). Given an array of integers nums, find the next permutation of nums. The replacement must be in place and use only constant extra memory. ","Array,Two Pointers",Medium,36.3,2166111,787106,10346,3360,0.75485189,,"46,47,60,267,1978","Permutations,Permutations II,Permutation Sequence,Palindrome Permutation II,Minimum Adjacent Swaps to Reach the Kth Smallest Number",next permutation
53,17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digit to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.  ","Hash Table,String,Backtracking",Medium,53.5,2146094,1147569,9594,668,0.934905477,,"22,39,401","Generate Parentheses,Combination Sum,Binary Watch",letter combinations of a phone number
54,127,Word Ladder,word-ladder,"A transformation sequence from word beginWord to word endWord using a dictionary wordList is a sequence of words beginWord -> s1 -> s2 -> ... -> sk such that: Given two words, beginWord and endWord, and a dictionary wordList, return the number of words in the shortest transformation sequence from beginWord to endWord, or 0 if no such sequence exists. ","Hash Table,String,Breadth-First Search",Hard,35.4,2134427,754570,7748,1635,0.825748694,,126433,"Word Ladder II,Minimum Genetic Mutation",word ladder
55,152,Maximum Product Subarray,maximum-product-subarray,"Given an integer array nums, find a contiguous non-empty subarray within the array that has the largest product, and return the product. The test cases are generated so that the answer will fit in a 32-bit integer. A subarray is a contiguous subsequence of the array. ","Array,Dynamic Programming",Medium,34.5,2086147,720227,11150,345,0.969986951,,5.32E+13,"Maximum Subarray,House Robber,Product of Array Except Self,Maximum Product of Three Numbers,Subarray Product Less Than K",maximum product subarray
56,344,Reverse String,reverse-string,Write a function that reverses a string. The input string is given as an array of characters s. You must do this by modifying the input array in-place with O(1) extra memory. ,"Two Pointers,String,Recursion",Easy,74.7,2078623,1553675,4831,937,0.837552011,The entire logic for reversing a string is based on using the opposite directional two-pointer approach!,345541,"Reverse Vowels of a String,Reverse String II",reverse string
57,49,Group Anagrams,group-anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. ","Hash Table,String,Sorting",Medium,64,2043076,1307071,8945,308,0.966713498,,242249,"Valid Anagram,Group Shifted Strings",group anagrams
58,215,Kth Largest Element in an Array,kth-largest-element-in-an-array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in the sorted order, not the kth distinct element. ","Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect",Medium,63.3,2021242,1279643,8917,480,0.948919868,,3.24E+27,"Wiggle Sort II,Top K Frequent Elements,Third Maximum Number,Kth Largest Element in a Stream,K Closest Points to Origin,Find the Kth Largest Integer in the Array,Find Subsequence of Length K With the Largest Sum,K Highest Ranked Items Within a Price Range",kth largest element in an array
59,94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,"Given the root of a binary tree, return the inorder traversal of its nodes' values. ","Stack,Tree,Depth-First Search,Binary Tree",Easy,70.6,2018990,1425499,7405,335,0.956718346,,9.81E+25,"Validate Binary Search Tree,Binary Tree Preorder Traversal,Binary Tree Postorder Traversal,Binary Search Tree Iterator,Kth Smallest Element in a BST,Closest Binary Search Tree Value II,Inorder Successor in BST,Convert Binary Search Tree to Sorted Doubly Linked List,Minimum Distance Between BST Nodes",binary tree inorder traversal
60,234,Palindrome Linked List,palindrome-linked-list,"Given the head of a singly linked list, return true if it is a palindrome. ","Linked List,Two Pointers,Stack,Recursion",Easy,46.5,2014641,935997,8563,523,0.942438917,,91252062236,"Palindrome Number,Valid Palindrome,Reverse Linked List,Maximum Twin Sum of a Linked List",palindrome linked list
61,102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values. (i.e., from left to right, level by level). ","Tree,Breadth-First Search,Binary Tree",Medium,60.8,1979250,1203028,7903,156,0.98064276,,1.03E+21,"Binary Tree Zigzag Level Order Traversal,Binary Tree Level Order Traversal II,Minimum Depth of Binary Tree,Binary Tree Vertical Order Traversal,Average of Levels in Binary Tree,N-ary Tree Level Order Traversal,Cousins in Binary Tree",binary tree level order traversal
62,242,Valid Anagram,valid-anagram,"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. ","Hash Table,String,Sorting",Easy,61.4,1961949,1203937,4620,209,0.956719818,,49266438,"Group Anagrams,Palindrome Permutation,Find All Anagrams in a String",valid anagram
63,42,Trapping Rain Water,trapping-rain-water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. ","Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack",Hard,56.3,1933682,1089492,17879,252,0.986101153,,11238407756,"Container With Most Water,Product of Array Except Self,Trapping Rain Water II,Pour Water",trapping rain water
64,58,Length of Last Word,length-of-last-word,"Given a string s consisting of some words separated by some number of spaces, return the length of the last word in the string. A word is a maximal substring consisting of non-space characters only. ",String,Easy,37.4,1916299,716989,875,70,0.925925926,,,,length of last word
65,169,Majority Element,majority-element,"Given an array nums of size n, return the majority element. The majority element is the element that appears more than n / 2 times. You may assume that the majority element always exists in the array. ","Array,Hash Table,Divide and Conquer,Sorting,Counting",Easy,62.8,1906897,1198357,9327,333,0.96552795,,2291102,"Majority Element II,Check If a Number Is Majority Element in a Sorted Array",majority element
66,155,Min Stack,min-stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time. Implement the MinStack class: ","Stack,Design",Easy,50.1,1905408,953827,7800,609,0.927577595,Consider each node in the stack having a minimum value. (Credits to @aakarshmadhavan),239716,"Sliding Window Maximum,Max Stack",min stack
67,124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,"A path in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence at most once. Note that the path does not need to pass through the root. The path sum of a path is the sum of the node's values in the path. Given the root of a binary tree, return the maximum path sum of any non-empty path. ","Dynamic Programming,Tree,Depth-First Search,Binary Tree",Hard,37.6,1899960,714542,9151,529,0.94535124,,1.12E+15,"Path Sum,Sum Root to Leaf Numbers,Path Sum IV,Longest Univalue Path,Time Needed to Inform All Employees",binary tree maximum path sum
68,76,Minimum Window Substring,minimum-window-substring,"Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """". The testcases will be generated such that the answer is unique. A substring is a contiguous sequence of characters within the string. ","Hash Table,String,Sliding Window",Hard,38.9,1890669,735482,9964,529,0.949585438,"Use two pointers to create a window of letters in S, which would have all the characters from T. Since you have to find the minimum window in S which has all the characters from T, you need to expand and contract the window using the two pointers and keep checking the window for all the characters. This approach is also called Sliding Window Approach.



L ------------------------ R , Suppose this is the window that contains all characters of T 
                          
        L----------------- R , this is the contracted window. We found a smaller window that still contains all the characters in T

When the window is no longer valid, start expanding again using the right pointer.",3.02E+16,"Substring with Concatenation of All Words,Minimum Size Subarray Sum,Sliding Window Maximum,Permutation in String,Smallest Range Covering Elements from K Lists,Minimum Window Subsequence",minimum window substring
